teamID,avg,max,ratio
PHI,2092230.93264,25000000.0,416.666666667
LAN,2346982.69803,23854494.0,397.5749
NYN,2317349.97725,23145011.0,385.750183333
DET,1980834.99021,23000000.0,383.333333333
MIN,1525031.65039,23000000.0,383.333333333
BOS,2692113.85681,22500000.0,375.0
SFN,2044198.68415,22250000.0,370.833333333
TEX,1874651.55114,22000000.0,366.666666667
SEA,1932288.9132,20557143.0,342.61905
CHA,1992653.50123,17000000.0,340.0
TOR,1768710.96005,19700000.0,328.333333333
HOU,1705561.31304,19369019.0,322.816983333
CHN,2185518.65408,19000000.0,316.666666667
CIN,1568035.28132,18910655.0,315.177583333
FLO,1147986.40306,14936667.0,298.73334
BAL,1785712.32515,17000000.0,283.333333333
SLN,1928832.55478,16333327.0,272.222116667
ATL,2130474.68258,16061802.0,267.6967
SDN,1317959.64354,15505142.0,258.419033333
CLE,1525794.95848,15000000.0,250.0
OAK,1303094.79883,13500000.0,225.0
KCA,1299025.78681,13000000.0,216.666666667
MON,707458.857886,11500000.0,191.666666667
COL,1945628.4724,20275000.0,186.009174312
ML4,613243.580052,5875000.0,97.9166666667
ARI,2428195.91266,16000000.0,94.1176470588
MIL,2095008.96681,15500000.0,91.1764705882
CAL,739073.179348,5375000.0,89.5833333333
ANA,1895109.20243,13166667.0,87.77778
LAA,4151107.17188,26187500.0,82.871835443
TBA,1528399.50549,10125000.0,59.5588235294
WAS,2243755.15769,16571429.0,52.4412310127
MIA,2974115.68627,19000000.0,39.5833333333
NYA,3608860.14854,33000000.0,
PIT,1077989.68038,16500000.0,
